,altitude,delta,delta_lat,delta_long,distance,enhanced_altitude,enhanced_speed,heart_rate,position_lat,position_lat_deg,position_long,position_long_deg,speed,timestamp,unknown_88
459,-133.60000000000002,1.0972794324034965,0.8201820953049745,0.7289193942521223,749.12,-133.60000000000002,1.614,138,340124377.0,28.508895942941308,-193075055.0,-16.18336415849626,1.614,2017-02-24 14:34:53,300
460,-127.19999999999999,0.9414878633879737,0.9413453593841185,-0.016380209792211997,749.76,-127.19999999999999,1.596,138,340124478.0,28.50890440866351,-193075057.0,-16.183364326134324,1.596,2017-02-24 14:34:54,300
461,-131.8,1.7996410251249464,0.8295023463879856,1.5970703417976286,751.54,-131.8,1.829,141,340124567.0,28.508911868557334,-193074862.0,-16.18334798142314,1.829,2017-02-24 14:34:55,300
462,-126.39999999999998,1.9158101997763877,0.9227048572180964,1.6789712528907024,753.46,-126.39999999999998,1.903,140,340124666.0,28.508920166641474,-193074657.0,-16.183330798521638,1.903,2017-02-24 14:34:56,300
463,-131.39999999999998,1.0023447371420438,0.5778555671466865,0.8190103269153168,754.46,-131.39999999999998,1.745,141,340124728.0,28.50892536342144,-193074557.0,-16.183322416618466,1.745,2017-02-24 14:34:57,300
464,-133.8,0.6476614100212996,-0.39145054548646513,0.5159765231763233,754.72,-133.8,1.549,139,340124686.0,28.508921843022108,-193074494.0,-16.18331713601947,1.549,2017-02-24 14:34:58,300
465,-125.39999999999998,8.783970165841907,-7.90357291839339,-3.8329710405949178,754.72,-125.39999999999998,0.98,135,340123838.0,28.508850764483213,-193074962.0,-16.18335636332631,0.98,2017-02-24 14:34:59,300
466,-131.0,1.057028075895957,-0.34484929007140974,0.9991933348304289,755.66,-131.0,1.204,133,340123801.0,28.50884766317904,-193074840.0,-16.183346137404442,1.204,2017-02-24 14:35:00,300
467,-124.0,1.5970985081102116,0.009320251083011074,1.5970713125992881,757.24,-124.0,1.493,129,340123802.0,28.50884774699807,-193074645.0,-16.183329792693257,1.493,2017-02-24 14:35:01,300
468,-130.2,1.7195543770621733,-1.4166781646176834,0.9746231238633478,758.33,-130.2,1.484,129,340123650.0,28.50883500650525,-193074526.0,-16.183319818228483,1.484,2017-02-24 14:35:02,300
469,-123.60000000000002,1.0914246612371212,-0.9786263637161627,0.4832165471051729,759.03,-123.60000000000002,1.241,128,340123545.0,28.50882620550692,-193074467.0,-16.183314872905612,1.241,2017-02-24 14:35:03,300
470,-111.80000000000001,4.49665541595738,-4.259354744936061,-1.4414600537821007,759.37,-111.80000000000001,1.11,125,340123088.0,28.508787900209427,-193074643.0,-16.183329625055194,1.11,2017-02-24 14:35:04,300
471,-114.39999999999998,1.184125155985179,-1.1836718875424064,-0.03276045907372911,760.05,-114.39999999999998,0.83,124,340122961.0,28.5087772551924,-193074647.0,-16.18332996033132,0.83,2017-02-24 14:35:05,300
472,-107.0,1.165836060423759,-1.0718288745462736,-0.45864646894232064,760.88,-107.0,0.606,123,340122846.0,28.50876761600375,-193074703.0,-16.183334654197097,0.606,2017-02-24 14:35:06,300
473,-112.19999999999999,1.7499012500395161,-1.38871741136865,1.0647151432432136,762.49,-112.19999999999999,1.138,122,340122697.0,28.508755126968026,-193074573.0,-16.183323757722974,1.138,2017-02-24 14:35:07,300
474,-106.0,1.7310867521267757,-0.30756828573936545,1.7035442738585274,764.22,-106.0,1.624,121,340122664.0,28.50875236093998,-193074365.0,-16.183306323364377,1.624,2017-02-24 14:35:08,300
475,-102.19999999999999,2.0723914138033535,0.5778555671466865,1.990198260355848,766.2,-102.19999999999999,1.931,120,340122726.0,28.508757557719946,-193074122.0,-16.18328595533967,1.931,2017-02-24 14:35:09,300
476,-101.0,1.581681320059072,0.055921506498066445,1.5806924379318057,767.79,-101.0,1.903,120,340122732.0,28.508758060634136,-193073929.0,-16.18326977826655,1.903,2017-02-24 14:35:10,300
477,-99.60000000000002,2.0242532025342563,-0.19572527274323256,2.014768633262832,769.8,-99.60000000000002,2.053,119,340122711.0,28.50875630043447,-193073683.0,-16.183249158784747,2.053,2017-02-24 14:35:11,300
478,-90.80000000000001,5.369585101481176,1.1650313853763843,5.241673972419173,775.21,-90.80000000000001,2.491,119,340122836.0,28.508766777813435,-193073043.0,-16.18319551460445,2.491,2017-02-24 14:35:14,300
479,-94.60000000000002,0.9383138401422185,0.28892778357334326,0.8927225764378496,776.14,-94.60000000000002,2.211,119,340122867.0,28.508769376203418,-193072934.0,-16.183186378329992,2.211,2017-02-24 14:35:15,300
480,-88.60000000000002,1.570160056336317,0.30756828573936545,1.5397416510965125,777.71,-88.60000000000002,2.034,119,340122900.0,28.508772142231464,-193072746.0,-16.18317062035203,2.034,2017-02-24 14:35:16,300
481,-93.39999999999998,0.5053175310375687,0.4939733073995869,0.106471492666429,777.96,-93.39999999999998,1.866,119,340122953.0,28.508776584640145,-193072733.0,-16.183169530704618,1.866,2017-02-24 14:35:17,300
